item_group_key_strict,item_group_key_loose,item_name_suggested,brand_guess,consumable_type,hazard_tags,example_image_file,images_in_group_strict,images_in_group_loose,primary_area,process_tags,unit_type,on_hand_qty,reorder_point,storage_location,notes,amazon_search_url,amazon_url,amazon_asin,r2_object_key
polymaker absfilament,polymaker absfilament,Polymaker ABSFilament175mm Blue,Polymaker,3d-print consumable,,PolymakerABSFilament175mmBlue.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Polymaker+ABSFilament175mm+Blue,,,Supplies/PolymakerABSFilament175mmBlue.jpg
polymaker matte plafilament,polymaker matte,Polymaker Matte PLAFilament175mm Lime Green,Polymaker,3d-print consumable,,PolymakerMattePLAFilament175mmLimeGreen.jpg,3,3,,,,,,,,https://www.amazon.ca/s?k=Polymaker+Matte+PLAFilament175mm+Lime+Green,,,Supplies/PolymakerMattePLAFilament175mmLimeGreen.jpg
polymaker pla dprinter,polymaker pla,Polymaker PLA+3DPrinter Filament,Polymaker,3d-print consumable,,PolymakerPLA+3DPrinterFilament.jpg,2,2,,,,,,,,https://www.amazon.ca/s?k=Polymaker+PLA+3DPrinter+Filament,,,Supplies/PolymakerPLA+3DPrinterFilament.jpg
silk pla dprinter,silk pla,Silk Silver PLA3DPrinter Filament,Silk,3d-print consumable,,SilkSilverPLA3DPrinterFilament.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Silk+Silver+PLA3DPrinter+Filament,,,Supplies/SilkSilverPLA3DPrinterFilament.jpg
sunlu3dprinter sunlu dprinter,sunlu3dprinter sunlu,SUNLU3DPrinter Filament Black,SUNLU3DPrinter,3d-print consumable,,SUNLU3DPrinterFilamentBlack.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=SUNLU3DPrinter+Filament+Black,,,Supplies/SUNLU3DPrinterFilamentBlack.jpg
100pack dusty rose,100pack dusty,100Pack Dusty Rose Blank Can Cooler Sleeves,100Pack,adhesive,,100PackDustyRoseBlankCanCoolerSleeves.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=100Pack+Dusty+Rose+Blank+Can+Cooler+Sleeves,,,Supplies/100PackDustyRoseBlankCanCoolerSleeves.jpg
24inch zip ties,24inch zip,24Inch Cable Zip Ties Heavy Duty,24Inch,adhesive,,24InchCableZipTiesHeavyDuty.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=24Inch+Cable+Zip+Ties+Heavy+Duty,,,Supplies/24InchCableZipTiesHeavyDuty.jpg
24pcs sublimation car,24pcs sublimation,24pcs Sublimation Car Cup Coasters Blank,24pcs,adhesive,,24pcsSublimationCarCupCoastersBlank.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=24pcs+Sublimation+Car+Cup+Coasters+Blank,,,Supplies/24pcsSublimationCarCupCoastersBlank.jpg
3dnails dnails art,3dnails dnails,3DNails Art Metal Charms Studs Jewels Decals Decorations,3DNails,adhesive,,3DNailsArtMetalCharmsStudsJewelsDecalsDecorations.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=3DNails+Art+Metal+Charms+Studs+Jewels+Decals+Decorations,,,Supplies/3DNailsArtMetalCharmsStudsJewelsDecalsDecorations.jpg
4 d led,4 d,"4 Pieces 3D LED Light, 16 Colors LED Base Adjustable Light Lamp with 4 Pieces Remote Controls 4 Pieces Clear Acrylic Sheets and 4 Pieces Charging Cables USB Cable Light for Bedroom Shop Restaurant",4,adhesive,,"4 Pieces 3D LED Light, 16 Colors LED Base Adjustable Light Lamp with 4 Pieces Remote Controls 4 Pieces Clear Acrylic Sheets and 4 Pieces Charging Cables USB Cable Light for Bedroom Shop Restaurant.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=4+Pieces+3D+LED+Light,+16+Colors+LED+Base+Adjustable+Light+Lamp+with+4+Pieces+Remote+Controls+4+Pieces+Clear+Acrylic+Sheets+and+4+Pieces+Charging+Cables+USB+Cable+Light+for+Bedroom+Shop+Restaurant",,,"Supplies/4 Pieces 3D LED Light, 16 Colors LED Base Adjustable Light Lamp with 4 Pieces Remote Controls 4 Pieces Clear Acrylic Sheets and 4 Pieces Charging Cables USB Cable Light for Bedroom Shop Restaurant.jpg"
4sheets5drelief sheets drelief,4sheets5drelief sheets,4Sheets5DRelief Lace Flowers Nail Stickers Decals,4Sheets5DRelief,adhesive,,4Sheets5DReliefLaceFlowersNailStickersDecals.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=4Sheets5DRelief+Lace+Flowers+Nail+Stickers+Decals,,,Supplies/4Sheets5DReliefLaceFlowersNailStickersDecals.jpg
5 laserable leatherette,5 laserable,5 Pack Laserable Leatherette Sheet Faux Leather Laser Engraving Leather Blank Hat Patches with Heat Press Adhesive for Laser Engraving DIY Hat Cap Beanie UV Printing Craft Supplies (Chestnut Brown),5,adhesive,chemical,5 Pack Laserable Leatherette Sheet Faux Leather Laser Engraving Leather Blank Hat Patches with Heat Press Adhesive for Laser Engraving DIY Hat Cap Beanie UV Printing Craft Supplies (Chestnut Brown).jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=5+Pack+Laserable+Leatherette+Sheet+Faux+Leather+Laser+Engraving+Leather+Blank+Hat+Patches+with+Heat+Press+Adhesive+for+Laser+Engraving+DIY+Hat+Cap+Beanie+UV+Printing+Craft+Supplies+(Chestnut+Brown),,,Supplies/5 Pack Laserable Leatherette Sheet Faux Leather Laser Engraving Leather Blank Hat Patches with Heat Press Adhesive for Laser Engraving DIY Hat Cap Beanie UV Printing Craft Supplies (Chestnut Brown).jpg
99isopropyl isopropyl alcohol,99isopropyl isopropyl,99Isopropyl Alcohol Madein Canada1L,99Isopropyl,adhesive,chemical,99IsopropylAlcoholMadeinCanada1L.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=99Isopropyl+Alcohol+Madein+Canada1L,,,Supplies/99IsopropylAlcoholMadeinCanada1L.jpg
adhesive guru ca,adhesive guru,Adhesive Guru CA Glue Accelerator Spray (2 x 3.38 fl oz) Aerosol Activator for Super Glues (2 Pack),Adhesive,adhesive,chemical,Adhesive Guru CA Glue Accelerator Spray (2 x 3.38 fl oz) Aerosol Activator for Super Glues (2 Pack).jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Adhesive+Guru+CA+Glue+Accelerator+Spray+(2+x+3.38+fl+oz)+Aerosol+Activator+for+Super+Glues+(2+Pack),,,Supplies/Adhesive Guru CA Glue Accelerator Spray (2 x 3.38 fl oz) Aerosol Activator for Super Glues (2 Pack).jpg
adtech5lb adtech bulk,adtech5lb adtech,Adtech5lb Bulk Pack10Hot Glue Sticks,Adtech5lb,adhesive,chemical,Adtech5lbBulkPack10HotGlueSticks.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Adtech5lb+Bulk+Pack10Hot+Glue+Sticks,,,Supplies/Adtech5lbBulkPack10HotGlueSticks.jpg
aroic paint pens,aroic paint,"AROIC 36 Pack Paint Pens for Rock Painting Write On Anything. Paint pens for Rock, Wood, Metal, Plastic, Glass, Canvas, Ceramic & More! Low Odor, Oil Based, Medium Tip Paint Markers",AROIC,adhesive,chemical,"AROIC 36 Pack Paint Pens for Rock Painting - Write On Anything. Paint pens for Rock, Wood, Metal, Plastic, Glass, Canvas, Ceramic & More! Low-Odor, Oil-Based, Medium-Tip Paint Markers.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=AROIC+36+Pack+Paint+Pens+for+Rock+Painting+Write+On+Anything.+Paint+pens+for+Rock,+Wood,+Metal,+Plastic,+Glass,+Canvas,+Ceramic+&+More!+Low+Odor,+Oil+Based,+Medium+Tip+Paint+Markers",,,"Supplies/AROIC 36 Pack Paint Pens for Rock Painting - Write On Anything. Paint pens for Rock, Wood, Metal, Plastic, Glass, Canvas, Ceramic & More! Low-Odor, Oil-Based, Medium-Tip Paint Markers.jpg"
avery self adhesive,avery self,Avery Self Adhesive Laminating Sheets,Avery,adhesive,chemical,AverySelf-AdhesiveLaminatingSheets.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Avery+Self+Adhesive+Laminating+Sheets,,,Supplies/AverySelf-AdhesiveLaminatingSheets.jpg
bearly art colorful,bearly art,Bearly Art Colorful Collection Cards,Bearly,adhesive,,BearlyArtColorfulCollectionCards.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Bearly+Art+Colorful+Collection+Cards,,,Supplies/BearlyArtColorfulCollectionCards.jpg
beoncall3mmtattoo beoncall mmtattoo,beoncall3mmtattoo beoncall,Beoncall3MMTattoo Practice Skin,Beoncall3MMTattoo,adhesive,,Beoncall3MMTattooPracticeSkin.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Beoncall3MMTattoo+Practice+Skin,,,Supplies/Beoncall3MMTattooPracticeSkin.jpg
blue wax block,blue wax,Blue Wax Block Carving,Blue,adhesive,,BlueWaxBlockCarving.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Blue+Wax+Block+Carving,,,Supplies/BlueWaxBlockCarving.jpg
brown kraft cardstock,brown kraft,Brown Kraft Cardstock Thick Paper100Sheets,Brown,adhesive,,BrownKraftCardstockThickPaper100Sheets.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Brown+Kraft+Cardstock+Thick+Paper100Sheets,,,Supplies/BrownKraftCardstockThickPaper100Sheets.jpg
business cards,business cards,Business Cards Blue,Business,adhesive,,BusinessCardsBlue.jpg,2,3,,,,,,,,https://www.amazon.ca/s?k=Business+Cards+Blue,,,Supplies/BusinessCardsBlue.jpg
business cards purple,business cards,Business Cards Purple,Business,adhesive,,BusinessCardsPurple.jpg,1,3,,,,,,,,https://www.amazon.ca/s?k=Business+Cards+Purple,,,Supplies/BusinessCardsPurple.jpg
cable matters prong,cable matters,Cable Matters3Prong Dryer Cord,Cable,adhesive,,CableMatters3ProngDryerCord.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cable+Matters3Prong+Dryer+Cord,,,Supplies/CableMatters3ProngDryerCord.jpg
cake collars x,cake collars,Cake Collars4x394inch Transparent Cake Rolls,Cake,adhesive,,CakeCollars4x394inchTransparentCakeRolls.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cake+Collars4x394inch+Transparent+Cake+Rolls,,,Supplies/CakeCollars4x394inchTransparentCakeRolls.jpg
calcium sulfate gypsum,calcium sulfate,Calcium Sulfate Gypsum227g8oz,Calcium,adhesive,,CalciumSulfateGypsum227g8oz.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Calcium+Sulfate+Gypsum227g8oz,,,Supplies/CalciumSulfateGypsum227g8oz.jpg
"calcium, calcium lime","calcium, calcium","Calcium, Lime, and Rust Remover 2 Pack","Calcium,",adhesive,,"Calcium, Lime, and Rust Remover - 2 Pack.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=Calcium,+Lime,+and+Rust+Remover+2+Pack",,,"Supplies/Calcium, Lime, and Rust Remover - 2 Pack.jpg"
candle dyes wax,candle dyes,Candle Dyes Wax Dyesfor Candle Making,Candle,adhesive,,CandleDyes-WaxDyesforCandleMaking.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Candle+Dyes+Wax+Dyesfor+Candle+Making,,,Supplies/CandleDyes-WaxDyesforCandleMaking.jpg
canfield lead free,canfield lead,Canfield Lead Free Silvergleem Solder Wire 1 2 Lb Spool,Canfield,adhesive,,Canfield Lead Free Silvergleem Solder Wire-1 2 Lb Spool.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Canfield+Lead+Free+Silvergleem+Solder+Wire+1+2+Lb+Spool,,,Supplies/Canfield Lead Free Silvergleem Solder Wire-1 2 Lb Spool.jpg
carpenter c raw,carpenter c,Carpenter C20pcs Raw Rosewood Lumber,Carpenter,adhesive,,CarpenterC20pcsRawRosewoodLumber.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Carpenter+C20pcs+Raw+Rosewood+Lumber,,,Supplies/CarpenterC20pcsRawRosewoodLumber.jpg
carving wax block,carving wax,Carving Wax Block15Piece Assortment Dark Green,Carving,adhesive,,CarvingWaxBlock15PieceAssortmentDarkGreen.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Carving+Wax+Block15Piece+Assortment+Dark+Green,,,Supplies/CarvingWaxBlock15PieceAssortmentDarkGreen.jpg
carving wax ring,carving wax,Carving Wax Ring Tube Blue T250,Carving,adhesive,,CarvingWaxRingTubeBlueT250.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Carving+Wax+Ring+Tube+Blue+T250,,,Supplies/CarvingWaxRingTubeBlueT250.jpg
coz yours natural,coz yours,Coz Yours Natural Soy Waxfor Candle Making,Coz,adhesive,,CozYoursNaturalSoyWaxforCandleMaking.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Coz+Yours+Natural+Soy+Waxfor+Candle+Making,,,Supplies/CozYoursNaturalSoyWaxforCandleMaking.jpg
creality official capricorn,creality official,Creality Official Capricorn Bowden PTFETubing Kit,Creality,adhesive,,CrealityOfficialCapricornBowdenPTFETubingKit.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Creality+Official+Capricorn+Bowden+PTFETubing+Kit,,,Supplies/CrealityOfficialCapricornBowdenPTFETubingKit.jpg
creality official mcapricorn,creality official,Creality Official2MCapricorn Teflon Tube,Creality,adhesive,,CrealityOfficial2MCapricornTeflonTube.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Creality+Official2MCapricorn+Teflon+Tube,,,Supplies/CrealityOfficial2MCapricornTeflonTube.jpg
cyafixed ca glue,cyafixed ca,"CYAFIXED CA Glue for Woodworking 2 Bottles Thin Viscosity 2 oz with 1 oz Medium Viscosity and 1 oz Ultra Thick Viscosity, Cyanoacrylate Adhesive for Woodturning, Wood Bonding and Gap Filling",CYAFIXED,adhesive,chemical,"CYAFIXED CA Glue for Woodworking - 2 Bottles Thin Viscosity 2 oz with 1 oz Medium Viscosity and 1 oz Ultra Thick Viscosity, Cyanoacrylate Adhesive for Woodturning, Wood Bonding and Gap Filling.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=CYAFIXED+CA+Glue+for+Woodworking+2+Bottles+Thin+Viscosity+2+oz+with+1+oz+Medium+Viscosity+and+1+oz+Ultra+Thick+Viscosity,+Cyanoacrylate+Adhesive+for+Woodturning,+Wood+Bonding+and+Gap+Filling",,,"Supplies/CYAFIXED CA Glue for Woodworking - 2 Bottles Thin Viscosity 2 oz with 1 oz Medium Viscosity and 1 oz Ultra Thick Viscosity, Cyanoacrylate Adhesive for Woodturning, Wood Bonding and Gap Filling.jpg"
dicasal4inch dicasal swivel,dicasal4inch dicasal,DICASAL4Inch Swivel Stem Casters Heavy Duty,DICASAL4Inch,adhesive,,DICASAL4InchSwivelStemCastersHeavyDuty.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=DICASAL4Inch+Swivel+Stem+Casters+Heavy+Duty,,,Supplies/DICASAL4InchSwivelStemCastersHeavyDuty.jpg
elmers all purpose,elmers all,Elmers All Purpose Glue Sticks,Elmers,adhesive,chemical,ElmersAll-PurposeGlueSticks.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Elmers+All+Purpose+Glue+Sticks,,,Supplies/ElmersAll-PurposeGlueSticks.jpg
encasa homes throw,encasa homes,Encasa Homes Throw Pillow Covers,Encasa,adhesive,,EncasaHomesThrowPillowCovers.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Encasa+Homes+Throw+Pillow+Covers,,,Supplies/EncasaHomesThrowPillowCovers.jpg
essential values ice,essential values,"Essential Values Ice Machine Cleaner 16 fl oz, Nickel Safe Descaler Ice Maker Cleaner Compatible with Whirlpool 4396808, Manitowac, Ice O Matic, Scotsman, Follett & more! Made in USA",Essential,adhesive,,"Essential Values Ice Machine Cleaner 16 fl oz, Nickel Safe Descaler  Ice Maker Cleaner Compatible with Whirlpool 4396808, Manitowac, Ice-O-Matic, Scotsman, Follett & more! - Made in USA.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=Essential+Values+Ice+Machine+Cleaner+16+fl+oz,+Nickel+Safe+Descaler+Ice+Maker+Cleaner+Compatible+with+Whirlpool+4396808,+Manitowac,+Ice+O+Matic,+Scotsman,+Follett+&+more!+Made+in+USA",,,"Supplies/Essential Values Ice Machine Cleaner 16 fl oz, Nickel Safe Descaler  Ice Maker Cleaner Compatible with Whirlpool 4396808, Manitowac, Ice-O-Matic, Scotsman, Follett & more! - Made in USA.jpg"
falari wholesale snapback,falari wholesale,Falari Wholesale12Pack Snapback Hat Cap,Falari,adhesive,,FalariWholesale12PackSnapbackHatCap.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Falari+Wholesale12Pack+Snapback+Hat+Cap,,,Supplies/FalariWholesale12PackSnapbackHatCap.jpg
fantasia materials pounds,fantasia materials,Fantasia Materials3Pounds Best Value Bulk Rough Madagascar Stone Mix,Fantasia,adhesive,,FantasiaMaterials3PoundsBestValueBulkRoughMadagascarStoneMix.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Fantasia+Materials3Pounds+Best+Value+Bulk+Rough+Madagascar+Stone+Mix,,,Supplies/FantasiaMaterials3PoundsBestValueBulkRoughMadagascarStoneMix.jpg
first alert sc,first alert,First Alert SC9120BCAHardwire Combination Carbon Monoxideand Smoke Alarm,First,adhesive,,FirstAlertSC9120BCAHardwireCombinationCarbonMonoxideandSmokeAlarm.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=First+Alert+SC9120BCAHardwire+Combination+Carbon+Monoxideand+Smoke+Alarm,,,Supplies/FirstAlertSC9120BCAHardwireCombinationCarbonMonoxideandSmokeAlarm.jpg
forby3lbs forby bulk,forby3lbs forby,FORBY3lbs Bulk Rough Madagascar Stones Mix,FORBY3lbs,adhesive,,FORBY3lbsBulkRoughMadagascarStonesMix.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=FORBY3lbs+Bulk+Rough+Madagascar+Stones+Mix,,,Supplies/FORBY3lbsBulkRoughMadagascarStonesMix.jpg
hand mixer electric,hand mixer,"Hand Mixer Electric, 450W Kitchen Mixers with Scale Cup Storage Case, Turbo Boost Self Control Speed + 5 Speed + Eject Button + 5 Stainless Steel Accessories, For Easy Whipping Dough,Cream,Cake",Hand,adhesive,,"Hand Mixer Electric, 450W Kitchen Mixers with Scale Cup Storage Case, Turbo Boost Self-Control Speed + 5 Speed + Eject Button + 5 Stainless Steel Accessories, For Easy Whipping Dough,Cream,Cake.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=Hand+Mixer+Electric,+450W+Kitchen+Mixers+with+Scale+Cup+Storage+Case,+Turbo+Boost+Self+Control+Speed+++5+Speed+++Eject+Button+++5+Stainless+Steel+Accessories,+For+Easy+Whipping+Dough,Cream,Cake",,,"Supplies/Hand Mixer Electric, 450W Kitchen Mixers with Scale Cup Storage Case, Turbo Boost Self-Control Speed + 5 Speed + Eject Button + 5 Stainless Steel Accessories, For Easy Whipping Dough,Cream,Cake.jpg"
hoppe'sno9lubricating hoppe sno,hoppe'sno9lubricating hoppe,HOPPE'SNo9Lubricating Oil,HOPPE'SNo9Lubricating,adhesive,,HOPPE'SNo9LubricatingOil.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=HOPPE'SNo9Lubricating+Oil,,,Supplies/HOPPE'SNo9LubricatingOil.jpg
ixgnijcopper alloyfor jewelry,ixgnijcopper alloyfor,IXGNIJCopper Alloyfor Gold Jewelry Corrosion Resistant Copper Casting Alloy Rings,IXGNIJCopper,adhesive,,IXGNIJCopperAlloyforGoldJewelry-CorrosionResistantCopperCastingAlloy-Rings.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=IXGNIJCopper+Alloyfor+Gold+Jewelry+Corrosion+Resistant+Copper+Casting+Alloy+Rings,,,Supplies/IXGNIJCopperAlloyforGoldJewelry-CorrosionResistantCopperCastingAlloy-Rings.jpg
jery we nose,jery we,Jery We 28 PCS Nose Studs Surgical Steel Screw Pin Bone Nose Piercing Jewelry for Women Men Tragus Forward Helix Cartilage Earrings Studs Clear Labret Studs Lip Rings Monroe Piercing Jewelry,Jery,adhesive,,JeryWe 28 PCS Nose Studs Surgical Steel Screw Pin Bone Nose Piercing Jewelry for Women Men Tragus Forward Helix Cartilage Earrings Studs Clear Labret Studs Lip Rings Monroe Piercing Jewelry.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Jery+We+28+PCS+Nose+Studs+Surgical+Steel+Screw+Pin+Bone+Nose+Piercing+Jewelry+for+Women+Men+Tragus+Forward+Helix+Cartilage+Earrings+Studs+Clear+Labret+Studs+Lip+Rings+Monroe+Piercing+Jewelry,,,Supplies/JeryWe 28 PCS Nose Studs Surgical Steel Screw Pin Bone Nose Piercing Jewelry for Women Men Tragus Forward Helix Cartilage Earrings Studs Clear Labret Studs Lip Rings Monroe Piercing Jewelry.jpg
jewelry casting borax,jewelry casting,Jewelry Casting Borax Flux,Jewelry,adhesive,,JewelryCastingBoraxFlux.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Jewelry+Casting+Borax+Flux,,,Supplies/JewelryCastingBoraxFlux.jpg
